company,question,difficulty,question_type,skills_assessed,hr_level,source
General,What is change management in HR?,Senior,Change Management,"Change Management & Communication,Strategic HR Planning,Culture & Employee Engagement",Senior HR,HR Interview
General,How do you measure recruiting effectiveness?,Senior,Talent Acquisition,"Talent Acquisition & Recruiting,HR Analytics & Metrics,Strategic HR Planning",Senior HR,HR Interview
General,What is workforce planning?,Staff,Strategic Planning,"Strategic HR Planning,HR Analytics & Metrics,Change Management & Communication",Staff HR,HR Interview
Twilio,How would you design a technical hiring process for developers?,Senior,Talent Acquisition,"Talent Acquisition & Recruiting,Strategic HR Planning,Change Management & Communication",Senior HR,HR Interview
Figma,Describe your approach to building design team culture,Senior,Culture & Engagement,"Culture & Employee Engagement,Strategic HR Planning,Change Management & Communication",Senior HR,HR Interview
Notion,How would you handle rapid scaling challenges?,Staff,Strategic Planning,"Strategic HR Planning,Change Management & Communication,Talent Acquisition & Recruiting",Staff HR,HR Interview
General,What is 360-degree feedback?,Mid,Performance Management,"Performance Management & Development,Culture & Employee Engagement,HR Analytics & Metrics",HR Generalist,HR Interview
General,How do you handle union relations?,Staff,Employee Relations,"Employee Relations & Conflict Resolution,HR Compliance & Legal,Strategic HR Planning",Staff HR,HR Interview
General,What is human capital analytics?,Staff,HR Analytics,"HR Analytics & Metrics,Strategic HR Planning,Change Management & Communication",Staff HR,HR Interview
General,How do you design mentorship programs?,Senior,Learning & Development,"Learning & Development Programs,Culture & Employee Engagement,Performance Management & Development",Senior HR,HR Interview
General,What is employer branding?,Senior,Talent Acquisition,"Talent Acquisition & Recruiting,Strategic HR Planning,Change Management & Communication",Senior HR,HR Interview
General,How do you handle whistleblower complaints?,Staff,Compliance & Legal,"HR Compliance & Legal,Employee Relations & Conflict Resolution,Strategic HR Planning",Staff HR,HR Interview
General,What is psychological safety?,Senior,Culture & Engagement,"Culture & Employee Engagement,Employee Relations & Conflict Resolution,Strategic HR Planning",Senior HR,HR Interview
General,How do you design flexible work policies?,Senior,Strategic Planning,"Strategic HR Planning,Culture & Employee Engagement,HR Compliance & Legal",Senior HR,HR Interview
General,What is talent management strategy?,Staff,Strategic Planning,"Strategic HR Planning,Performance Management & Development,Learning & Development Programs",Staff HR,HR Interview
