company,role,principle_name,principle_description,question,question_type,difficulty,quote,source
Okta,Entry Level,People Empowerment,Ensuring every employee has ownership and stake in success,"Tell me about a time when you helped empower a colleague or team member to take on greater responsibility or ownership of their work.",Values,Easy,"They want every employee to know that Okta belongs to them, and that they have a stake in their shared wins.","Todd McKinnon, CEO, Core Values Update, 2019"
PagerDuty,Senior,Ownership Mindset,Acting and thinking like a company owner,"Tell me about a time when you made a difficult decision about resource allocation or prioritization by thinking about what was best for the company as a whole, not just your immediate team.",Leadership,Hard,"Act and think like an owner — which goes a little further than, 'Spend the company's money like you would your own.'","Jennifer Tejada, CEO, Leadership Interview, 2020"
PagerDuty,Leadership,Empathy as Competitive Advantage,Using empathy to understand and serve stakeholders better,"Tell me about a time when you used empathy to gain a competitive advantage or solve a problem that others couldn't address effectively.",Leadership,Hard,"When asked what she'd bring to battle a giant, Jennifer chose empathy as her weapon of choice.","Jennifer Tejada, CEO, Unusual VC Interview, 2021"
PagerDuty,Mid Level,Prevention over Response,Focusing on preventing problems rather than just solving them,"Tell me about a time when you shifted your team's approach from reactive problem-solving to proactive prevention, and what impact that had.",Problem Solving,Medium,"The goal for us and for our customers is not to just help them respond more effectively when things don't work the way they're supposed to, but to help prevent big issues from happening.","Jennifer Tejada, CEO, Company Mission, 2021"
PagerDuty,Entry Level,Active Listening,Using listening skills to understand and support others,"Tell me about a time when your active listening skills helped you understand a problem or opportunity that others had missed.",Teamwork,Easy,"Active listening. You have two ears and one mouth for a reason.","Jennifer Tejada, CEO, Leadership Advice, 2020"
Lyft,Senior,Community-Centered Transportation,Building transportation solutions that strengthen communities,"Tell me about a time when you designed or improved a product or service to strengthen community connections rather than just individual convenience.",Values,Hard,"We created a service that was truly peer-to-peer, encouraging customers to sit in the front seat and fist-bump their driver.","Logan Green & John Zimmer, Co-founders, Company History, 2015"
Lyft,Leadership,Values-Driven Partnership,Ensuring alignment of core values in business relationships,"Tell me about a time when you had to choose between multiple business opportunities or partnerships, and you made the decision based on values alignment rather than just financial benefits.",Leadership,Hard,"Alignment of values is incredibly important. Shared values are the single highest priority to align with your Series A investor.","John Zimmer, Co-founder, Entrepreneur Advice, 2018"
Lyft,Mid Level,Sustainable Innovation,Creating solutions that address environmental and social challenges,"Tell me about a time when you led an initiative that balanced business objectives with environmental or social responsibility.",Problem Solving,Medium,"Lyft strategically invested in a multi-million-dollar carbon-neutral vehicle making environmental conditions safe and habitable giving the company an advantage over its competitors.","Logan Green & John Zimmer, Co-founders, Sustainability Strategy, 2021"
Lyft,Entry Level,Mission-Driven Persistence,Maintaining conviction despite unfavorable odds,"Tell me about a time when you persisted with an idea or project that others doubted, because you believed it served an important purpose.",Values,Medium,"There has to be a burning need to build what you're building. This internal fire is how — in the face of unfavorable odds and intractable challenges — Thunder Lizards find the conviction and endurance to keep going.","Logan Green, Co-founder, Leadership Interview, 2019"
Pinterest,Senior,Visual-First Product Thinking,Designing experiences around visual information processing,"Tell me about a time when you redesigned a process or product to leverage visual communication instead of text-based approaches.",Problem Solving,Hard,"No amount of technology is going to change the fact that people process information visually.","Ben Silbermann, CEO, Product Philosophy, 2016"
Pinterest,Leadership,Human-Centered Technology,Building technology that reflects human behavior and needs,"Tell me about a time when you advocated for a more human-centered approach to technology or process design, even when it seemed less efficient.",Leadership,Hard,"I want Pinterest to be human. The Internet's still so abstract... To me, boards are a very human way of looking at the world.","Ben Silbermann, CEO, Product Vision, 2015"
Pinterest,Mid Level,Patient Growth Strategy,Focusing on meaningful engagement over rapid expansion,"Tell me about a time when you chose a slower, more sustainable growth approach over a quick win that could have shown immediate results.",Problem Solving,Medium,"By prioritizing meaningful engagement over rapid expansion, Silbermann built a platform that continues to shape digital inspiration worldwide.","Ben Silbermann, CEO, Growth Strategy, 2018"
Pinterest,Entry Level,Learning Through Building,Acquiring skills by doing rather than just studying,"Tell me about a time when you had to learn a new skill or technology on the job to complete a project, and how you approached that learning process.",Culture Fit,Easy,"Don't over-analyze everything. I myself have been guilty of over-thinking problems. Just build things and find out if they work.","Ben Silbermann, CEO, Startup Advice, 2017"
Roblox,Senior,Imagination Platform Vision,Creating tools that unlock unlimited creative potential,"Tell me about a time when you designed or built tools that empowered others to create something beyond what you originally envisioned.",Leadership,Hard,"Our vision is to build a human co-experience platform that connects billions of users... the ultimate platform for play.","David Baszucki, CEO, Company Vision, 2021"
Roblox,Leadership,Community-Driven Innovation,Leveraging collective creativity over individual brilliance,"Tell me about a time when you chose to build a platform or process that enabled others to innovate, rather than trying to solve everything yourself.",Leadership,Hard,"The collective creativity of millions would far surpass what any single company could produce.","David Baszucki, CEO, Platform Philosophy, 2020"
Roblox,Mid Level,User Empowerment Philosophy,Focusing on inspiring and empowering users to learn and create,"Tell me about a time when you shifted your approach from providing solutions to empowering others to create their own solutions.",Problem Solving,Medium,"Roblox is all about inspiring and empowering people to learn, create and explore new ideas.","David Baszucki, CEO, Company Mission, 2021"
Roblox,Entry Level,Collaborative Creativity,Building environments where people inspire each other,"Tell me about a time when you created an environment or process that encouraged collaboration and mutual inspiration among team members.",Teamwork,Easy,"Roblox began with just 100 players and a handful of creators who inspired one another, unlocking this groundswell of creativity, collaboration, and imagination.","David Baszucki, CEO, Origin Story, 2020"
Stripe,Senior,Developer-First Infrastructure,Building tools that empower developers to focus on innovation,"Tell me about a time when you designed a tool or system that simplified complex processes for your internal or external users.",Problem Solving,Hard,"Build for developers first. Stripe aims to give developers the tools they need to create the most secure and novel buying experiences.","Patrick Collison, CEO, Developer Conference, 2022"
Stripe,Leadership,Global Accessibility Vision,Ensuring solutions work equally well across different markets and regions,"Tell me about a time when you had to adapt a product or service to work effectively in diverse markets or for underserved populations.",Leadership,Hard,"The vision is empowering global participation, not just serving today's needs. He aims for Stripe to work just as well for companies in Nigeria or Brazil as the Western world.","Patrick Collison, CEO, Global Vision, 2023"
Stripe,Mid Level,Reliability as Core Identity,Making dependability the primary value proposition,"Tell me about a time when you prioritized reliability and stability over new features or rapid development, and how you convinced stakeholders this was the right approach.",Problem Solving,Medium,"I now increasingly think of Stripe as we should simply be the most reliable infrastructure partner that people have. And they can always depend on Stripe always working.","Patrick Collison, CEO, Infrastructure Philosophy, 2024"
Stripe,Entry Level,Long-term Thinking Over Quick Wins,Making decisions based on long-term vision rather than immediate gains,"Tell me about a time when you advocated for a long-term solution that required more initial investment but would create better outcomes over time.",Culture Fit,Medium,"Companies have to be willing to make farsighted bets to build breakthrough products versus myopic iteration.","Patrick Collison, CEO, Strategy Interview, 2023"
