Company,Role Level,Principle Name,Principle Description,Behavioral Question,Question Type,Difficulty,Quote,Source
Apollo Global Management,Senior,Global Perspective,Leverage global expertise and market insights,Give me an example of how you've navigated cultural or market differences to achieve success.,Teamwork,Medium,"Our mission is to provide exceptional risk-adjusted returns for our investors while creating value across credit, private equity, and real assets.","Marc Rowan, CEO, Apollo Investor Day, 2024"
Apollo Global Management,Leadership,Fiduciary Excellence,Maintain the highest standards of fiduciary responsibility,Tell me about a time when you prioritized client interests over easier alternatives.,Values,Hard,"Our mission is to provide exceptional risk-adjusted returns for our investors while creating value across credit, private equity, and real assets.","Marc Rowan, CEO, Apollo Investor Day, 2024"
TPG,Entry Level,Operational Excellence,Drive operational improvements in portfolio companies,Tell me about a time when you identified and implemented operational improvements that created significant value.,Problem Solving,Hard,"We are operators, not just investors. Our approach is to work alongside management teams to build better businesses.","Jon Winkelried, CEO, TPG Annual Meeting, 2024"
TPG,Mid Level,Responsible Investing,Integrate ESG considerations into investment decisions,Describe how you've balanced financial returns with environmental or social impact.,Values,Hard,"We are operators, not just investors. Our approach is to work alongside management teams to build better businesses.","Jon Winkelried, CEO, TPG Annual Meeting, 2024"
TPG,Senior,Global Collaboration,Collaborate across regions and sectors,Give me an example of how you've successfully managed a complex cross-functional initiative.,Teamwork,Medium,"We are operators, not just investors. Our approach is to work alongside management teams to build better businesses.","Jon Winkelried, CEO, TPG Annual Meeting, 2024"
TPG,Leadership,Long-term Partnership,Build enduring partnerships with management teams,Tell me about how you've built trust and partnership with key stakeholders over time.,Culture Fit,Medium,"We are operators, not just investors. Our approach is to work alongside management teams to build better businesses.","Jon Winkelried, CEO, TPG Annual Meeting, 2024"
Vista Equity Partners,Entry Level,Data-Driven Decisions,Make decisions based on rigorous data analysis,Tell me about a time when you used data analysis to challenge conventional wisdom and drive better outcomes.,Problem Solving,Hard,We combine deep industry knowledge with proven operational expertise to build market-leading software companies.,"Robert Smith, Founder, Vista Equity Partners Website, 2024"
Vista Equity Partners,Mid Level,Operational Excellence,Apply proven methodologies to improve business performance,Describe how you've systematically improved business processes to drive performance.,Culture Fit,Hard,We combine deep industry knowledge with proven operational expertise to build market-leading software companies.,"Robert Smith, Founder, Vista Equity Partners Website, 2024"
Vista Equity Partners,Senior,Technology Focus,Leverage technology and software expertise,Give me an example of how you've used technology to solve a complex business challenge.,Problem Solving,Medium,We combine deep industry knowledge with proven operational expertise to build market-leading software companies.,"Robert Smith, Founder, Vista Equity Partners Website, 2024"
Vista Equity Partners,Leadership,Value Creation,Focus relentlessly on sustainable value creation,Tell me about a time when you identified and captured significant value creation opportunities.,Leadership,Hard,We combine deep industry knowledge with proven operational expertise to build market-leading software companies.,"Robert Smith, Founder, Vista Equity Partners Website, 2024"
Sequoia Capital,Entry Level,Long-term Partnership,Build enduring partnerships with exceptional founders,Tell me about a professional relationship you've built that created sustained mutual value over years.,Culture Fit,Medium,We help daring founders build legendary companies from idea to IPO and beyond.,"Roelof Botha, Senior Partner, Sequoia Capital Blog, 2024"
Sequoia Capital,Mid Level,Pattern Recognition,Identify patterns and opportunities before they become obvious,Describe a time when you recognized a trend or opportunity that others initially dismissed.,Problem Solving,Hard,We help daring founders build legendary companies from idea to IPO and beyond.,"Roelof Botha, Senior Partner, Sequoia Capital Blog, 2024"
Sequoia Capital,Senior,Founder-First,Put founder success at the center of everything we do,Give me an example of when you went above and beyond to help someone else achieve their goals.,Values,Medium,We help daring founders build legendary companies from idea to IPO and beyond.,"Roelof Botha, Senior Partner, Sequoia Capital Blog, 2024"
Sequoia Capital,Leadership,Intellectual Rigor,Apply rigorous analysis and intellectual honesty,Tell me about a time when you had to completely change your opinion based on new evidence.,Leadership,Hard,We help daring founders build legendary companies from idea to IPO and beyond.,"Roelof Botha, Senior Partner, Sequoia Capital Blog, 2024"
Andreessen Horowitz,Entry Level,Founder Obsession,Be obsessed with helping founders succeed,Tell me about a time when you went to extraordinary lengths to help someone achieve their vision.,Culture Fit,Medium,Software is eating the world. We back the entrepreneurs who are building the companies that will define the future.,"Marc Andreessen, Co-Founder, a16z Podcast, 2024"
Andreessen Horowitz,Mid Level,Technical Excellence,Combine deep technical knowledge with business insight,Describe how you've bridged technical complexity with business strategy.,Problem Solving,Hard,Software is eating the world. We back the entrepreneurs who are building the companies that will define the future.,"Marc Andreessen, Co-Founder, a16z Podcast, 2024"
Andreessen Horowitz,Senior,Contrarian Thinking,Think independently and challenge conventional wisdom,Give me an example of when you took a contrarian position that proved successful.,Values,Hard,Software is eating the world. We back the entrepreneurs who are building the companies that will define the future.,"Marc Andreessen, Co-Founder, a16z Podcast, 2024"
Andreessen Horowitz,Leadership,Network Effects,Leverage the power of networks to create value,Tell me about how you've leveraged relationships and networks to solve complex problems.,Leadership,Medium,Software is eating the world. We back the entrepreneurs who are building the companies that will define the future.,"Marc Andreessen, Co-Founder, a16z Podcast, 2024"
Kleiner Perkins,Entry Level,Visionary Leadership,Partner with visionary leaders building the future,Tell me about a time when you supported someone with a bold vision that others doubted.,Culture Fit,Medium,We partner with the brightest entrepreneurs to turn their bold ideas into world-changing companies.,"Mamoon Hamid, Partner, Kleiner Perkins Website, 2024"
Kleiner Perkins,Mid Level,Innovation Focus,Focus on breakthrough innovations and technologies,Describe how you've evaluated and supported a truly innovative but risky initiative.,Problem Solving,Hard,We partner with the brightest entrepreneurs to turn their bold ideas into world-changing companies.,"Mamoon Hamid, Partner, Kleiner Perkins Website, 2024"
Kleiner Perkins,Senior,Market Transformation,Invest in companies that transform entire markets,Give me an example of when you helped drive significant change in an established market.,Leadership,Hard,We partner with the brightest entrepreneurs to turn their bold ideas into world-changing companies.,"Mamoon Hamid, Partner, Kleiner Perkins Website, 2024"
Kleiner Perkins,Leadership,Partnership Excellence,Build exceptional partnerships with entrepreneurs,"Tell me about how you've built trust with someone in a high-stakes, uncertain situation.",Values,Medium,We partner with the brightest entrepreneurs to turn their bold ideas into world-changing companies.,"Mamoon Hamid, Partner, Kleiner Perkins Website, 2024"
Greylock Partners,Entry Level,Entrepreneur First,Put entrepreneurs and their success first,Tell me about a time when you prioritized someone else's success over your own recognition.,Values,Medium,"We invest in companies at their earliest stages, often when they are just an idea and a team.","Reid Hoffman, Partner, Greylock Perspectives, 2024"
Greylock Partners,Mid Level,Deep Expertise,Provide deep industry and functional expertise,Describe how you've developed and applied deep expertise to solve complex problems.,Problem Solving,Hard,"We invest in companies at their earliest stages, often when they are just an idea and a team.","Reid Hoffman, Partner, Greylock Perspectives, 2024"
Greylock Partners,Senior,Long-term Thinking,"Think in decades, not quarters",Give me an example of when you made decisions with a very long-term perspective.,Culture Fit,Medium,"We invest in companies at their earliest stages, often when they are just an idea and a team.","Reid Hoffman, Partner, Greylock Perspectives, 2024"
Greylock Partners,Leadership,Network Value,Create value through our network and community,Tell me about how you've used your network to create value for others.,Leadership,Medium,"We invest in companies at their earliest stages, often when they are just an idea and a team.","Reid Hoffman, Partner, Greylock Perspectives, 2024"
Bridgewater Associates,Entry Level,Radical Transparency,Embrace radical transparency in all interactions,Tell me about a time when you gave or received difficult feedback that led to meaningful improvement.,Culture Fit,Hard,The biggest mistake investors make is to believe that what happened in the recent past is likely to persist.,"Ray Dalio, Principles: Life and Work, 2017"
Bridgewater Associates,Mid Level,Principled Thinking,Think independently and systematically,Describe a situation where you challenged conventional wisdom through systematic analysis.,Problem Solving,Hard,The biggest mistake investors make is to believe that what happened in the recent past is likely to persist.,"Ray Dalio, Principles: Life and Work, 2017"
Bridgewater Associates,Senior,Meaningful Relationships,Build meaningful work and meaningful relationships,Give me an example of when you chose a more challenging path because it was more meaningful.,Values,Medium,The biggest mistake investors make is to believe that what happened in the recent past is likely to persist.,"Ray Dalio, Principles: Life and Work, 2017"
Bridgewater Associates,Leadership,Extreme Ownership,Take extreme ownership of outcomes and mistakes,Tell me about a significant failure you owned and how you turned it into learning.,Leadership,Hard,The biggest mistake investors make is to believe that what happened in the recent past is likely to persist.,"Ray Dalio, Principles: Life and Work, 2017"
Citadel,Entry Level,Excellence in Execution,Execute with precision and attention to detail,Tell me about a time when your attention to detail prevented a significant problem.,Culture Fit,Medium,"We succeed through relentless focus on performance, integrity, and innovation.","Ken Griffin, Founder & CEO, Citadel Annual Meeting, 2024"
Citadel,Mid Level,Intellectual Curiosity,Maintain relentless intellectual curiosity,Describe how you've approached learning a completely new domain outside your expertise.,Problem Solving,Hard,"We succeed through relentless focus on performance, integrity, and innovation.","Ken Griffin, Founder & CEO, Citadel Annual Meeting, 2024"
Citadel,Senior,Team Excellence,Build and develop exceptional teams,Give me an example of how you've identified and developed high-potential talent.,Leadership,Hard,"We succeed through relentless focus on performance, integrity, and innovation.","Ken Griffin, Founder & CEO, Citadel Annual Meeting, 2024"
Citadel,Leadership,Risk Excellence,Maintain rigorous risk management,Tell me about a time when you balanced aggressive targets with prudent risk management.,Values,Hard,"We succeed through relentless focus on performance, integrity, and innovation.","Ken Griffin, Founder & CEO, Citadel Annual Meeting, 2024"
Two Sigma,Entry Level,Data-Driven Culture,Make decisions based on rigorous data analysis,Tell me about a time when you used data to challenge and change an important decision.,Problem Solving,Hard,"We believe that human ingenuity, enhanced by technology, is the key to understanding markets.","John Overdeck, Co-Founder, Two Sigma Technology Talk, 2024"
Two Sigma,Mid Level,Scientific Method,Apply the scientific method to investment processes,Describe how you've systematically tested and refined an approach to improve outcomes.,Culture Fit,Hard,"We believe that human ingenuity, enhanced by technology, is the key to understanding markets.","John Overdeck, Co-Founder, Two Sigma Technology Talk, 2024"
Two Sigma,Senior,Innovation,Continuously innovate in technology and methods,Give me an example of when you developed an innovative solution to a complex technical problem.,Problem Solving,Hard,"We believe that human ingenuity, enhanced by technology, is the key to understanding markets.","John Overdeck, Co-Founder, Two Sigma Technology Talk, 2024"
Two Sigma,Leadership,Collaboration,Foster collaboration across diverse disciplines,Tell me about how you've successfully collaborated with people from very different backgrounds.,Teamwork,Medium,"We believe that human ingenuity, enhanced by technology, is the key to understanding markets.","John Overdeck, Co-Founder, Two Sigma Technology Talk, 2024"
Renaissance Technologies,Entry Level,Mathematical Rigor,Apply mathematical rigor to all investment decisions,Tell me about a time when you used quantitative analysis to solve a complex problem.,Problem Solving,Hard,We use mathematical models to analyze and trade securities. We are essentially a technology company.,"Peter Brown, CEO, Renaissance Technologies Investor Letter, 2023"
Renaissance Technologies,Mid Level,Research Excellence,Maintain the highest standards of research,Describe how you've conducted rigorous research that led to actionable insights.,Culture Fit,Hard,We use mathematical models to analyze and trade securities. We are essentially a technology company.,"Peter Brown, CEO, Renaissance Technologies Investor Letter, 2023"
Renaissance Technologies,Senior,Intellectual Honesty,Maintain intellectual honesty in research and analysis,Give me an example of when research results challenged your assumptions.,Values,Hard,We use mathematical models to analyze and trade securities. We are essentially a technology company.,"Peter Brown, CEO, Renaissance Technologies Investor Letter, 2023"
Renaissance Technologies,Leadership,Long-term Excellence,Focus on sustained long-term performance,Tell me about how you've built systems or processes for long-term sustainability.,Leadership,Hard,We use mathematical models to analyze and trade securities. We are essentially a technology company.,"Peter Brown, CEO, Renaissance Technologies Investor Letter, 2023"
BlackRock,Entry Level,Fiduciary Excellence,Act as stewards of client capital with integrity,Tell me about a time when you prioritized client interests over easier alternatives.,Values,Hard,"As a fiduciary to our clients, our purpose is to help more and more people experience financial well-being.","Larry Fink, CEO Annual Letter, 2024"
BlackRock,Mid Level,Innovation Leadership,Lead innovation in investment technology,Describe how you've implemented innovative solutions to complex challenges.,Problem Solving,Hard,"As a fiduciary to our clients, our purpose is to help more and more people experience financial well-being.","Larry Fink, CEO Annual Letter, 2024"
BlackRock,Senior,Global Perspective,Maintain comprehensive global perspective,Give me an example of when you navigated complex cultural or regulatory differences.,Culture Fit,Medium,"As a fiduciary to our clients, our purpose is to help more and more people experience financial well-being.","Larry Fink, CEO Annual Letter, 2024"
BlackRock,Leadership,Sustainable Investing,Integrate sustainability into investment processes,Tell me about how you've balanced financial returns with environmental impact.,Leadership,Hard,"As a fiduciary to our clients, our purpose is to help more and more people experience financial well-being.","Larry Fink, CEO Annual Letter, 2024"
Vanguard,Entry Level,Client Focus,Put client success above all other considerations,Tell me about a decision you made that was right for clients but challenging for your organization.,Values,Hard,"We exist to take a stand for all investors, to treat them fairly, and to give them the best chance for investment success.","Tim Buckley, CEO Annual Report, 2024"
Vanguard,Mid Level,Long-term Perspective,Think and act with long-term investment horizon,Describe a situation where you resisted short-term pressures for long-term benefit.,Culture Fit,Medium,"We exist to take a stand for all investors, to treat them fairly, and to give them the best chance for investment success.","Tim Buckley, CEO Annual Report, 2024"
Vanguard,Senior,Cost Leadership,Relentlessly focus on minimizing costs,Give me an example of how you improved efficiency while maintaining quality.,Problem Solving,Medium,"We exist to take a stand for all investors, to treat them fairly, and to give them the best chance for investment success.","Tim Buckley, CEO Annual Report, 2024"
Vanguard,Leadership,Simplicity,Embrace simplicity in products and processes,Tell me about a time when you simplified a complex process to improve outcomes.,Leadership,Medium,"We exist to take a stand for all investors, to treat them fairly, and to give them the best chance for investment success.","Tim Buckley, CEO Annual Report, 2024"
State Street,Entry Level,Client Partnership,Build deep partnerships with institutional clients,Tell me about how you've built and maintained a complex long-term client relationship.,Culture Fit,Medium,"We serve the world's most sophisticated investors by providing them with the investment servicing, investment management and investment research and trading services they need.","Ron O'Hanley, CEO, State Street Annual Report, 2024"
State Street,Mid Level,Operational Excellence,Deliver flawless operational execution,Describe a time when you improved operational processes to enhance client experience.,Problem Solving,Medium,"We serve the world's most sophisticated investors by providing them with the investment servicing, investment management and investment research and trading services they need.","Ron O'Hanley, CEO, State Street Annual Report, 2024"
State Street,Senior,Innovation,Drive innovation in financial services technology,Give me an example of when you led the adoption of new technology or processes.,Leadership,Hard,"We serve the world's most sophisticated investors by providing them with the investment servicing, investment management and investment research and trading services they need.","Ron O'Hanley, CEO, State Street Annual Report, 2024"
State Street,Leadership,Global Reach,Leverage global capabilities to serve clients,Tell me about how you've coordinated across multiple regions or cultures.,Teamwork,Medium,"We serve the world's most sophisticated investors by providing them with the investment servicing, investment management and investment research and trading services they need.","Ron O'Hanley, CEO, State Street Annual Report, 2024"
Fidelity,Entry Level,Customer Obsession,Put customers at the center of everything we do,Tell me about a time when you went above and beyond to solve a customer problem.,Culture Fit,Medium,Our mission is to inspire better futures and deliver better outcomes for the customers and businesses we serve.,"Abigail Johnson, CEO, Fidelity Annual Meeting, 2024"
Fidelity,Mid Level,Innovation,Continuously innovate to improve customer experience,Describe how you've used technology or innovation to enhance customer outcomes.,Problem Solving,Medium,Our mission is to inspire better futures and deliver better outcomes for the customers and businesses we serve.,"Abigail Johnson, CEO, Fidelity Annual Meeting, 2024"
Fidelity,Senior,Long-term Thinking,Make decisions with long-term perspective,Give me an example of when you made a decision that sacrificed short-term gains for long-term value.,Values,Hard,Our mission is to inspire better futures and deliver better outcomes for the customers and businesses we serve.,"Abigail Johnson, CEO, Fidelity Annual Meeting, 2024"
Fidelity,Leadership,Integrity,Maintain the highest standards of integrity,Tell me about a time when you faced an ethical dilemma and how you resolved it.,Leadership,Hard,Our mission is to inspire better futures and deliver better outcomes for the customers and businesses we serve.,"Abigail Johnson, CEO, Fidelity Annual Meeting, 2024"
Stripe,Entry Level,Move Fast,Move fast and iterate based on user feedback,Tell me about a time when you had to make quick decisions with incomplete information.,Problem Solving,Medium,We want to increase the GDP of the internet by making it easier for people to start and scale internet businesses.,"Patrick Collison, CEO, Stripe Press, 2024"
Stripe,Mid Level,Think Rigorously,Apply rigorous thinking to complex problems,Describe a situation where you used systematic analysis to solve a complex problem.,Problem Solving,Hard,We want to increase the GDP of the internet by making it easier for people to start and scale internet businesses.,"Patrick Collison, CEO, Stripe Press, 2024"
Stripe,Senior,Trust and Amplify,Trust teammates and amplify their impact,Give me an example of when you empowered someone to exceed their potential.,Leadership,Medium,We want to increase the GDP of the internet by making it easier for people to start and scale internet businesses.,"Patrick Collison, CEO, Stripe Press, 2024"
Stripe,Leadership,Global Optimization,Optimize for global maximum rather than local maxima,Tell me about a time when you made decisions that benefited the broader organization.,Values,Hard,We want to increase the GDP of the internet by making it easier for people to start and scale internet businesses.,"Patrick Collison, CEO, Stripe Press, 2024"
Block,Entry Level,Accessibility,Make financial services accessible to everyone,Tell me about a time when you worked to make something complex more accessible.,Culture Fit,Medium,We build tools to help increase access to the economy. We want to make commerce easy for everyone.,"Jack Dorsey, Co-Founder, Block Investor Relations, 2024"
Block,Mid Level,Empowerment,Empower individuals and businesses through technology,Describe how you've used technology to empower others to achieve their goals.,Values,Medium,We build tools to help increase access to the economy. We want to make commerce easy for everyone.,"Jack Dorsey, Co-Founder, Block Investor Relations, 2024"
Block,Senior,Innovation,Continuously innovate to solve real problems,Give me an example of when you developed an innovative solution to a genuine problem.,Problem Solving,Hard,We build tools to help increase access to the economy. We want to make commerce easy for everyone.,"Jack Dorsey, Co-Founder, Block Investor Relations, 2024"
Block,Leadership,Integrity,Build trust through transparency and integrity,Tell me about a time when you had to be transparent about a difficult situation.,Leadership,Hard,We build tools to help increase access to the economy. We want to make commerce easy for everyone.,"Jack Dorsey, Co-Founder, Block Investor Relations, 2024"
PayPal,Entry Level,Inclusion,Democratize financial services for all,Tell me about a time when you worked to include people who were previously excluded.,Values,Medium,"Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services.","Dan Schulman, Former CEO, PayPal Earnings Call, 2023"
PayPal,Mid Level,Innovation,Innovate to solve customer pain points,Describe how you've identified and solved a significant customer problem.,Problem Solving,Medium,"Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services.","Dan Schulman, Former CEO, PayPal Earnings Call, 2023"
PayPal,Senior,Collaboration,Collaborate to achieve shared success,Give me an example of how you've brought together diverse teams to achieve a common goal.,Teamwork,Medium,"Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services.","Dan Schulman, Former CEO, PayPal Earnings Call, 2023"
PayPal,Leadership,Wellness,Focus on employee and community wellness,Tell me about how you've supported the well-being of your team or community.,Culture Fit,Medium,"Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services.","Dan Schulman, Former CEO, PayPal Earnings Call, 2023"
Robinhood,Entry Level,Democratize Finance,Make financial markets accessible to everyone,Tell me about a time when you made something complex more accessible to a broader audience.,Culture Fit,Medium,Our mission is to democratize finance for all. We believe everyone should have access to the financial markets.,"Vlad Tenev, CEO, Robinhood Congressional Testimony, 2021"
Robinhood,Mid Level,Customer First,Put customers at the center of every decision,Describe a situation where you chose customer benefit over business metrics.,Values,Hard,Our mission is to democratize finance for all. We believe everyone should have access to the financial markets.,"Vlad Tenev, CEO, Robinhood Congressional Testimony, 2021"
Robinhood,Senior,Innovation,Continuously innovate to improve customer experience,Give me an example of how you've used customer feedback to drive innovation.,Problem Solving,Medium,Our mission is to democratize finance for all. We believe everyone should have access to the financial markets.,"Vlad Tenev, CEO, Robinhood Congressional Testimony, 2021"
Robinhood,Leadership,Transparency,"Communicate transparently, especially during challenges",Tell me about a time when you communicated difficult news with transparency and empathy.,Leadership,Hard,Our mission is to democratize finance for all. We believe everyone should have access to the financial markets.,"Vlad Tenev, CEO, Robinhood Congressional Testimony, 2021"
Coinbase,Entry Level,Clear Communication,Communicate clearly and transparently,Tell me about a time when you explained complex concepts to diverse audiences.,Culture Fit,Medium,"We are building an open financial system for the world - one that is more fair, accessible, efficient, and transparent.","Brian Armstrong, CEO, Coinbase Blog, 2024"
Coinbase,Mid Level,Efficient Execution,Execute efficiently and focus on high-impact work,Describe how you've prioritized competing demands to focus on maximum impact.,Problem Solving,Medium,"We are building an open financial system for the world - one that is more fair, accessible, efficient, and transparent.","Brian Armstrong, CEO, Coinbase Blog, 2024"
Coinbase,Senior,Act Like an Owner,Make decisions with long-term ownership mentality,Give me an example of when you made a long-term decision despite short-term costs.,Values,Hard,"We are building an open financial system for the world - one that is more fair, accessible, efficient, and transparent.","Brian Armstrong, CEO, Coinbase Blog, 2024"
Coinbase,Leadership,Top Talent,"Attract, develop, and retain exceptional talent",Tell me about how you've identified and developed high-potential team members.,Leadership,Hard,"We are building an open financial system for the world - one that is more fair, accessible, efficient, and transparent.","Brian Armstrong, CEO, Coinbase Blog, 2024"
Lazard,Entry Level,Independent Advice,Provide truly independent strategic advice,Tell me about a time when you gave advice that went against popular opinion but was right for the client.,Values,Hard,We provide independent advice to help clients achieve their strategic objectives.,"Kenneth Jacobs, CEO, Lazard Annual Report, 2024"
Lazard,Mid Level,Global Expertise,Leverage global expertise and relationships,Describe how you've used diverse perspectives to solve a complex problem.,Problem Solving,Medium,We provide independent advice to help clients achieve their strategic objectives.,"Kenneth Jacobs, CEO, Lazard Annual Report, 2024"
Lazard,Senior,Long-term Relationships,Build lasting relationships based on trust,Give me an example of how you've maintained a professional relationship over many years.,Culture Fit,Medium,We provide independent advice to help clients achieve their strategic objectives.,"Kenneth Jacobs, CEO, Lazard Annual Report, 2024"
Lazard,Leadership,Intellectual Capital,Apply deep intellectual capital to create value,Tell me about a time when your expertise made a significant difference in outcomes.,Leadership,Hard,We provide independent advice to help clients achieve their strategic objectives.,"Kenneth Jacobs, CEO, Lazard Annual Report, 2024"
Evercore,Entry Level,Client Excellence,Deliver excellence in client service,Tell me about a time when you exceeded client expectations despite significant challenges.,Culture Fit,Medium,We are built on the principle that superior advice and service to clients will drive success.,"Ralph Schlosstein, CEO, Evercore Investor Day, 2023"
Evercore,Mid Level,Intellectual Honesty,Maintain intellectual honesty in all interactions,Describe a situation where you delivered unpopular but necessary recommendations.,Values,Hard,We are built on the principle that superior advice and service to clients will drive success.,"Ralph Schlosstein, CEO, Evercore Investor Day, 2023"
Evercore,Senior,Collaborative Excellence,Collaborate effectively across teams,Give me an example of how you've managed a complex multi-team project.,Teamwork,Medium,We are built on the principle that superior advice and service to clients will drive success.,"Ralph Schlosstein, CEO, Evercore Investor Day, 2023"
Evercore,Leadership,Innovation,Innovate to solve complex client challenges,Tell me about an innovative approach you developed for a unique client situation.,Problem Solving,Hard,We are built on the principle that superior advice and service to clients will drive success.,"Ralph Schlosstein, CEO, Evercore Investor Day, 2023"
Centerview Partners,Entry Level,Senior Attention,Provide senior-level attention to every client,Tell me about a time when you personally took ownership of a critical client situation.,Culture Fit,Hard,We provide our clients with independent advice and flawless execution on their most important strategic and financial decisions.,"Blair Effron, Co-Founder, Centerview Website, 2024"
Centerview Partners,Mid Level,Independence,Maintain complete independence in providing advice,Describe a situation where you provided independent counsel despite conflicting interests.,Values,Hard,We provide our clients with independent advice and flawless execution on their most important strategic and financial decisions.,"Blair Effron, Co-Founder, Centerview Website, 2024"
Centerview Partners,Senior,Excellence,Strive for excellence in every engagement,Give me an example of when you refused to accept good enough and pushed for excellence.,Problem Solving,Medium,We provide our clients with independent advice and flawless execution on their most important strategic and financial decisions.,"Blair Effron, Co-Founder, Centerview Website, 2024"
Centerview Partners,Leadership,Relationship Building,"Build deep, lasting client relationships",Tell me about how you've built trust with a client in a challenging situation.,Leadership,Medium,We provide our clients with independent advice and flawless execution on their most important strategic and financial decisions.,"Blair Effron, Co-Founder, Centerview Website, 2024"
Moelis & Company,Entry Level,Entrepreneurial Culture,Foster entrepreneurial thinking and ownership,Tell me about a time when you took entrepreneurial initiative to create value.,Culture Fit,Medium,We are an entrepreneurial investment bank that provides creative solutions and superior service to our clients.,"Ken Moelis, CEO, Moelis & Company Annual Report, 2024"
Moelis & Company,Mid Level,Client Partnership,Act as true partners to our clients,Describe how you've built a genuine partnership relationship with a key stakeholder.,Values,Medium,We are an entrepreneurial investment bank that provides creative solutions and superior service to our clients.,"Ken Moelis, CEO, Moelis & Company Annual Report, 2024"
Moelis & Company,Senior,Innovation,Innovate in our approach to client solutions,Give me an example of when you developed a creative solution to a client challenge.,Problem Solving,Hard,We are an entrepreneurial investment bank that provides creative solutions and superior service to our clients.,"Ken Moelis, CEO, Moelis & Company Annual Report, 2024"
Moelis & Company,Leadership,Excellence,Maintain the highest standards of excellence,Tell me about a time when you maintained high standards despite time or resource pressures.,Leadership,Hard,We are an entrepreneurial investment bank that provides creative solutions and superior service to our clients.,"Ken Moelis, CEO, Moelis & Company Annual Report, 2024"
Berkshire Hathaway,Entry Level,Long-term Value Creation,Focus on long-term value creation over short-term results,Tell me about a time when you made a decision that sacrificed short-term gains for long-term value.,Values,Hard,Our goal is to increase Berkshire's per-share intrinsic value at a reasonable rate over time.,"Warren Buffett, Chairman, Berkshire Hathaway Annual Letter, 2024"
Berkshire Hathaway,Mid Level,Integrity,Conduct business with absolute integrity,Describe a situation where you faced an ethical dilemma and chose the harder but right path.,Culture Fit,Hard,Our goal is to increase Berkshire's per-share intrinsic value at a reasonable rate over time.,"Warren Buffett, Chairman, Berkshire Hathaway Annual Letter, 2024"
