
School,ProgramLevel,Year,Employer1,Employer1Count,Employer2,Employer2Count,Employer3,Employer3Count,Employer4,Employer4Count,Employer5,Employer5Count,Employer6,Employer6Count,Employer7,Employer7Count,Employer8,Employer8Count,Employer9,Employer9Count,Employer10,Employer10Count,Source,Program Level,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Count9,Count10,Level
Stanford Graduate School of Business,,Latest available,McKinsey & Company,,Bain & Company,,Boston Consulting Group,,Amazon,,Google,,Meta (Facebook),,Apple,,DoorDash,,Deloitte,,Sequoia Capital,,https://managementconsulted.com/stanford-gsb-employment-report/#:~:text=Companies%20Typically%20Hiring%20Stanford%20MBAs,MBA,,,,,,,,,,,
Dartmouth College – Tuck School of Business,,Latest available,Boston Consulting Group,,McKinsey & Company,,Bain & Company,,Deloitte,,Barclays,,Oliver Wyman,,L.E.K. Consulting,,Amazon,,Bank of America,,Morgan Stanley,,https://tuck.dartmouth.edu/mba/career-services/employment-statistics#:~:text=Top%20Hiring%20Companies,MBA,,,,,,,,,,,
New York University – Stern School of Business,,2023,McKinsey & Company,,Deloitte,,Strategy&,,Amazon,,EY,,Bain & Company,,Boston Consulting Group,,JP Morgan Chase,,Goldman Sachs,,Citi,,https://poetsandquants.com/2023/10/20/nyu-stern-mbas-join-the-200k-compensation-club/#:~:text=McKinsey%20was%20the%20top%20employer,at%20sixth%20with%2010%20hires,MBA,24.0,18.0,15.0,10.0,,,,,,,
"University of California, Berkeley – Haas School of Business",,Latest available,Adobe Systems,,Amazon,,Bain & Company,,Boston Consulting Group,,Deloitte Consulting,,EY-Parthenon,,McKinsey & Company,,PwC Strategy&,,The Clorox Company,,Western Digital,,https://haas.berkeley.edu/recruiters/report/#:~:text=Top%20employers%20hired%20three%20or,are%20listed%20in%20alphabetical%20order,MBA,,,,,,,,,,,
University of Texas at Austin – McCombs School of Business,,2024-25,AT&T,,Accenture,,Adobe,,Amazon,,Bain & Company,,Bank of America,,Boston Consulting Group,,Deloitte,,EY-Parthenon,,McKinsey & Company,,go.mccombs.utexas.edu/rs/503-KLY-263/images/FT%20MBA%20Employment%20Report%202024-25_Final.pdf#:~:text=TOP%20RECRUITING%20PARTNERS%20Thank%20you,Consulting%20Visa%20Walmart%20Wells%20Fargo,MBA,,,,,,,,,,,
Emory University – Goizueta Business School,,Latest available,EY-Parthenon,,Goldman Sachs,,HP,,Jefferies,,JPMorgan Chase,,Kimberly-Clark Corporation,,McKesson Corporation,,McKinsey & Company,,Merck,,PwC,,goizueta.emory.edu/documents/FTMBAEmploymentReport.pdf#:~:text=EY%E2%80%94Parthenon%20Goldman%20Sachs%20HP%20Jefferies,time%20roles,MBA,,,,,,,,,,,
"University of California, Los Angeles – Anderson School of Management",,2024,L.E.K. Consulting,,Microsoft,,Morgan Stanley,,Nike,,PwC,,Walmart,,The Walt Disney Company,,Bank of America,,Boston Consulting Group,,Deloitte,,www.anderson.ucla.edu/sites/default/files/document/2025-03/Class%20of%202024%20Employment%20Report_0.pdf#:~:text=TOP%20HIRING%20FIRMS%20The%20following,more%20full%E2%80%93time%20MBA%20students%20during,MBA,,,,,,,,,,,
Yale University – School of Management,,2024,Amazon.com,,Analysis Group,,Bain & Company,,Barclays PLC,,Citi,,Deloitte Consulting,,IBM,,Mattel,,McKinsey & Company,,Microsoft,,https://som.yale.edu/programs/mba/career-paths/employment-report-2024-25#:~:text=Organizations%20that%20Hired%20the%20Most,SOM%20Graduates%20in%202024,MBA,,,,,,,,,,,
University of North Carolina at Chapel Hill – Kenan‑Flagler Business School,,2023-24,Amazon,,Amgen,,Ecolab,,Evercore,,Gilead Sciences,,Bain & Company,,Deloitte Consulting,,EY-Parthenon,,L.E.K. Consulting,,McKinsey & Company,,www.kenan-flagler.unc.edu/wp-content/uploads/2024/05/FTMBA24-055_2022-23_Employers_List_FNL.pdf#:~:text=Amazon,MorganFranklin%20Consulting%20%28nowwww.kenan-flagler.unc.edu/wp-content/uploads/2024/05/FTMBA24-055_2022-23_Employers_List_FNL.pdf#:~:text=Bank%20of%20America%20Corporation,Parthenon%2A%20%20GSK,MBA,,,,,,,,,,,
Indiana University – Kelley School of Business,,Latest available,Amazon,,Bain & Company,,Bank of America,,Deloitte,,EY,,Goldman Sachs,,McKinsey & Company,,JP Morgan,,Microsoft,,Procter & Gamble,,https://careers.kelley.iu.edu/top-hiring-companies/#:~:text=2023,MBA,,,,,,,,,,,
University of Southern California – Marshall School of Business,,2024,Accenture,,Amazon,,Amgen,,Bain & Company,,Bank of America,,Deloitte,,EY,,EY-Parthenon,,Gilead,,Google,,uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/2024_full_time_mba_employment_report_final_hxjsw5g58m.pdf#:~:text=Organizations%20that%20hired%20USC%20Marshall,Company%20United%20Talent%20Agency%20Walmart,MBA,,,,,,,,,,,
Georgetown University – McDonough School of Business,,2024,Accenture,,Amazon,,American Airlines,,Bain & Company,,Baird,,Citigroup,,Cognizant,,Deloitte,,EY,,Jefferies,,https://msb.georgetown.edu/news-story/career/georgetown-mba-class-of-2024-secures-impactful-career-opportunities-after-graduation/#:~:text=year%E2%80%99s%20class%20were%20consulting%20%2836,among%20several%20others,MBA,,,,,,,,,,,
University of Michigan – Ross School of Business,,2024,McKinsey & Company,,Boston Consulting Group,,Deloitte,,Bain & Company,,Amazon,,PwC Strategy&,,J.P. Morgan,,Goldman Sachs,,Microsoft,,Google,,https://michiganross.umich.edu/news/michigan-ross-releases-2024-career-report-full-time-mba-grads-received-offers-top-companies#:~:text=Consulting%20remained%20the%20top%20hiring,of%20jobs%2C%20respectively,MBA,,,,,,,,,,,
Carnegie Mellon University – Tepper School of Business,,2022,Amazon,,Deloitte,,Microsoft,,PwC,,Boston Consulting Group,,McKinsey & Company,,EY-Parthenon,,Bain & Company,,Google,,AlixPartners,,https://www.goalisb.com/post/carnegie-mellon-mba#:~:text=Who%20were%20the%20top%20employers,Tepper%20in%202022%20placements,MBA,,,,,,,,,,,
Rice University – Jones Graduate School of Business,,2024,Deloitte Consulting,,EY-Parthenon,,Boston Consulting Group,,McKinsey & Company,,Bain & Company,,JP Morgan,,Bank of America Securities,,Barclays Global Markets,,RBC Capital Markets,,Piper Sandler,,dn.uconnectlabs.com/wp-content/uploads/sites/99/2025/02/2024-Full-Time-MBA-Employment-Outcomes-Report-Web.pdf,MBA,,,,,,,,,,,
Georgia Tech – Scheller College of Business,,Latest available,Accenture,,Amazon,,Apple,,Bain & Company,,Bank of America,,Delta Air Lines,,Deloitte,,EY-P,,Ford Motor Company,,Honeywell,,https://www.scheller.gatech.edu/explore-programs/mba-programs/full-time-mba/career-development/index.html#:~:text=Check%20out%20some%20of%20the,companies%20that%20recruit%20from%20Scheller,MBA,,,,,,,,,,,
Washington University – Olin Business School,,2024,Amazon,,American Express Company,,Boston Consulting Group,,Deloitte,,Eli Lilly & Company,,EY-Parthenon,,FedEx,,General Mills Inc.,,Mastercard,,Microsoft Corporation,,https://olin.washu.edu/programs/mbas/full-time-mba/career-prospects.php#:~:text=Employers%20that%20hire,,,,,,,,,,,,MBA
University of Wisconsin – Wisconsin School of Business,,2024,Intuit,,Amazon,,Cisco,,American Family Insurance,,Robert W. Baird,,Dell,,Meta,,Procter & Gamble,,Kimberly Clark,,SC Johnson,,https://business.wisc.edu/graduate/mba/full-time/careers/#:~:text=Top%20Recruiting%20Companies,,,,,,,,,,,,MBA
Southern Methodist University – Cox School of Business,,2023,Accenture,,Acore Capital,,Alvarez & Marsal,,Amazon,,American Airlines,,AT&T,,Bain & Company,,Bank of America Merrill Lynch,,Bank OZK,,Boston Consulting Group,,www.smu.edu/-/media/site/cox/centersandinstitutes/cmc/smu-cox-bba-employment-report-2023.pdf#:~:text=HIRING%20COMPANY%20EXAMPLES%20ACCENTURE%20ACORE,EPSILON%2C%20LLC%20EQUITABLE%20ADVISORS%20EY,,,,,,,,,,,,BBA
University of Maryland – Robert H. Smith School of Business,,2024,Amazon,,Bank of America,,Deloitte,,Capital One,,Citi,,Google,,Northrop Grumman,,PwC,,Target,,Verizon,,https://www.rhsmith.umd.edu/programs/full-time-mba/career#:~:text=Smith%20Hired,,,,,,,,,,,,MBA
Michigan State University – Broad College of Business,,2024,Accenture,,Amazon,,General Motors,,KPMG,,Procter & Gamble,,Deloitte,,Honeywell,,Microsoft,,PwC,,Target,,https://info.broad.msu.edu/employment-report/#:~:text=ACCENTURE,,,,,,,,,,,,BBA
Ohio State University – Fisher College of Business,,2024,Abbott Nutrition,,Amazon,,Amgen,,Bank of America,,Citi,,Deloitte Consulting,,Fisher College of Business,,JPMorgan Chase,,Mattel,,McKinsey & Company,,https://fisher.osu.edu/graduate/ftmba/mba-career-outcomes,,,,,,,,,,,,MBA
University of Minnesota – Carlson School of Management,,2024,Johnson & Johnson,,JP Morgan Chase & Co.,,Land O’Lakes,,McKinsey & Company,,Medtronic,,Target Corporation,,The Cigna Group,,U.S. Bank,,UnitedHealth Group,,Xcel Energy,,rlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/2024-12/carlson-ftmba-employment-report-2024.pdf#:~:text=Harland%20Medical%20Systems%20Harris%20Williams,Valve%20Waters%20Corporation%20Xcel%20Energy,,,,,,,,,,,,MBA
University of Arizona – Eller College of Management,,2024,Accenture,,Amazon,,American Express,,Bank of America,,Becton Dickinson,,Deloitte,,EY,,Intel,,Microsoft,,PayPal,,https://eller.arizona.edu/career-outcomes/graduate#:~:text=Top%20Master%27s%20Recruiting%20and%20Hiring,Organizations,,,,,,,,,,,,MBA
Arizona State University – W. P. Carey School of Business,,2020,Amazon,,American Express,,Apple,,Applied Materials,,Bank of America,,Bayer,,Blue Stone Strategy Group,,Capital One,,CVS Health,,DaVita,,wpcarey.asu.edu/sites/g/files/litvpz246/files/2021-10/w._p._carey_2020_employment_report.pdf#:~:text=employers%20Top%20Full,Solar%20Walmart%20Corporation%20Walmart%20eCommerce,,,,,,,,,,,,MBA
University of Notre Dame – Mendoza College of Business,,2022,Deloitte,,EY,,PwC,,Goldman Sachs,,Guggenheim,,JP Morgan,,UBS,,Citibank,,IBM,,Amazon,,https://poetsandquants.com/2022/10/24/notre-dame-reports-record-outcomes-for-2022-mba-class/#:~:text=%E2%80%9CBusiness%20is%20a%20team%20sport,from%20our%20employer%20partners%2C%20dedication,,,,,,,,,,,,MBA
Pennsylvania State University – Smeal College of Business,,2022,Amazon,,JP Morgan Chase,,GEP,,Deloitte Consulting,,Microsoft,,Dell Technologies,,Honeywell,,Lockheed Martin,,L’Oreal USA,,Cigna,,www.smeal.psu.edu/pgp/mba-2022-employment-report.pdf#:~:text=10%20Full,Armour%2C%20Inc%20Vail%20Resorts%20Inc,,5.0,4.0,3.0,,,,,,,,MBA
Babson College – F.W. Olin Graduate School of Business,,2023,Apple,,Accenture,,Clean Harbors,,Disney,,Google,,PwC,,Snowflake,,AB InBev,,Dell,,EY,,https://www.babson.edu/professional/organizations/hire-business-students/recruit-graduate-students/graduate-student-outcomes/#:~:text=Apple%20%2F%20Accenture%20%2F%20Clean,Morningside%20BioPharma%20Advisory%20%2F%20Snowflake,,,,,,,,,,,,MBA
"University of California, Irvine – Paul Merage School of Business",,2023,Abbott,,AbbVie,,Adobe Systems,,Alteryx,,Amazon,,BayWa r.e. Solar Projects,,Cisco Systems,,Citibank,,Danaher Corporation,,Edwards Lifesciences,,merage.uci.edu/_files/documents/career-center/Employment-Report-2020-2024.pdf#:~:text=Top%20Merage%20School%20Full,US%20Bank%20Walmart%20West%20Monroe,,,,,,,,,,,,MBA
Purdue University – Krannert School of Management,,2018,Accenture,,Amazon,,A.T. Kearney,,Bank of America,,CGN Global Consulting,,Dell,,Deloitte Consulting,,Eaton,,Elanco,,Electronic Arts,,https://e-gmat.com/blogs/purdue-university-krannert-school-of-management-class-profile-employment-reports-notable-alumni/,,,,,,,,,,,,MBA
Brigham Young University – Marriott School of Business,,2025,Adobe,,Amazon,,American Airlines,,Apple,,Bain & Company,,Bank of America,,Boston Consulting Group,,Cisco,,Dell,,Deloitte,,https://marriott.byu.edu/mba/career/careers/companies/,,,,,,,,,,,,MBA
Boston College – Carroll School of Management,,2024,Amazon,,American Express,,Analysis Group,,Bank of America,,Deloitte,,EY,,Google,,JP Morgan Chase,,Liberty Mutual,,McKinsey,,https://www.bc.edu/bc-web/schools/carroll-school/graduate/career-development.html,,,,,,,,,,,,MBA
Texas A&M University – Mays Business School,,2018,Dell Inc.,,Deloitte Consulting LLP,,USAA,,North Highland Worldwide Consulting,,ExxonMobil,,Hewlett Packard Enterprise,,Infosys Limited,,The Hershey Company,,Gartner Consulting,,Toyota Financial Services,,https://e-gmat.com/blogs/texas-am-university-mays-business-school-class-profile-employment-reports-notable-alumni/,,,,,,,,,,,,MBA
University of Georgia – Terry College of Business,,2024,Deloitte,,EY,,JPMorgan Chase,,Mastercard,,PwC,,The Home Depot,,UPS,,Walmart,,Wells Fargo,,KPMG,,https://www.terry.uga.edu/msba/employment-stats/,,,,,,,,,,,,MSBA/MBA
University of Florida – Warrington College of Business,,2025,Deloitte,,NextEra Energy,,CSX,,ALDI,,FIS,,L3Harris,,Royal Caribbean,,,,,,,,https://www.floridatrend.com/article/42476/florida-based-companies-tap-into-the-university-of-florida-business-graduate-talent-pool/,,,,,,,,,,,,MBA
University of Washington – Foster School of Business,,2019,Accenture,,Deloitte Consulting,,McKinsey & Company,,Amazon.com,,Apple Computer,,Microsoft Corp,,Google,,Dell,,Nike,,Goldman Sachs,,https://e-gmat.com/blogs/uw-foster-mba-class-profile/,,,,,,,,,,,,MBA
Imperial College Business School,MBA,2023,Amazon,,Google,,Uber,,Boston Consulting Group,,Ernst & Young,,Deloitte,,PwC,,HSBC,,Moody’s,,Procter & Gamble,,https://www.imperial.ac.uk/business-school/mba/global-online-mba/career-impact/#:~:text=Employment%20outcomes,,,,,,,,,,,,
HEC Paris,MBA,2021,Bain & Company,,McKinsey & Company,,Boston Consulting Group,,Amazon,,Deloitte,,PwC,,Ernst & Young,,Kearney,,LVMH,,,,https://www.businessbecause.com/news/mba-jobs-salary/7770/hec-paris-mba-jobs#:~:text=Companies%20hiring%20HEC%20Paris%20MBAs,,,,,,,,,,,,
INSEAD,MBA,2023,Bain & Company,,Boston Consulting Group,,McKinsey & Company,,Strategy&,,Accenture,,Roland Berger,,Morgan Stanley,,Amazon,,Eli Lilly,,Amphenol,,https://www.businessbecause.com/news/mba-jobs-salary/7709/insead-mba-jobs-salaries#:~:text=For%20MBAs%20entering%20consulting%2C%20the,Strategy%26%2C%20Accenture%2C%20and%20Roland%20Berger,,,,,,,,,,,,
London Business School,MBA,2024,Accenture,,Bain & Company,,Boston Consulting Group,,Kearney,,McKinsey & Company,,Strategy&,,Citi,,Goldman Sachs,,Morgan Stanley,,Amazon,,ets.london.edu/hxo16fanegqh/3AUIB9h2HJvzgh89cXjwdt/de8d9073204c90e38d80c6d033d5a2cf/mba_employment_report.pdf#:~:text=Hiring%20companies%20%28full,CONSULTING%08,,,,,,,,,,,,
IESE Business School,MBA,2022,ABInBev,,Adidas,,Amazon,,Bain & Company,,Citi,,McKinsey & Company,,Novartis,,Pepsico,,Uber,,,,https://www.iese.edu/stories/iese-employment-report/#:~:text=ABInBev%2C%20Adidas%2C%20Amazon%2C%20Bain%20%26,women%2C%20of%2050%20different%20nationalities,,,,,,,,,,,,
IE Business School,MBA,2023,Amazon,,AWS,,Microsoft,,Ernst & Young,,KPMG,,Deloitte,,McKinsey & Company,,Accenture,,Nike,,Novartis,,https://www.businessbecause.com/news/mba-jobs-salary/7733/ie-business-school-mba-jobs-salary#:~:text=Some%20of%20the%20world%E2%80%99s%20largest,Johnson%20%26%20Johnson%2C%20and%20Mastercard,,,,,,,,,,,,
Cambridge Judge Business School,MBA,2024,Boston Consulting Group,,McKinsey & Company,,ArcelorMittal,,Kearney,,Google,,Ernst & Young,,Fung Group,,Infosys,,Schlumberger Business Consulting,,A.T. Kearney,,meerkhatri.com/wp-content/uploads/2024/06/Cambridge-MBA-Employment-Report-Class-of-2023.pdf#:~:text=Companies%20employing%20the%20most%20Cambridge,three%20months%20outhttps://www.topmba.com/jobs/employers/mba-jobs-top-employers-business-schools-europe#:~:text=Just%20six%20companies%20are%20listed,Kearney%20and%20EY,,,,,,,,,,,,
Oxford Saïd Business School,MBA,2024,Bain & Company,,Boston Consulting Group,,Dalberg,,Efficio,,EY-Parthenon,,Kearney,,McKinsey & Company,,Roland Berger,,Bank of America,,Goldman Sachs,,https://fortunaadmissions.com/mba/oxford-said-mba-application/#:~:text=Top%20Recruiters%3A,,,,,,,,,,,,
IMD Business School,MBA,2023,Amazon,,Boston Consulting Group,,Bain & Company,,ZS Associates,,Deloitte,,Eli Lilly,,Arthur D. Little,,Credit Suisse,,McKinsey & Company,,Danaher,,https://e-gmat.com/blogs/imd-business-school-imd-mba-program-class-profile-employment-reports-notable-alumni/#:~:text=Major%20Employers%20hiring%20IMD%20MBA,Graduates,,,,,,,,,,,,
IIM Bangalore,MBA,2024,Accenture Strategy,45.0,Bain & Company,17.0,Boston Consulting Group,17.0,EY Parthenon,15.0,PwC,12.0,Amazon,11.0,TCS Strategic Leadership Program,11.0,Hindustan Unilever,10.0,McKinsey & Company,10.0,Tata Steel,10.0,www.iimb.ac.in/sites/default/files/inline-files/Placement-Report-2024.pdf#:~:text=Companies%20,Company%2010%20Tata%20Steel%2010,,,,,,,,,,,,
IIM Ahmedabad,MBA,2024,Accenture,26.0,Boston Consulting Group,23.0,Bain & Company,,McKinsey & Company,,Kearney,,Goldman Sachs,,TCS,,Adani Group,,Hindustan Unilever,,Avendus Capital,,https://www.imsindia.com/blog/cat/iim-ahmedabad-placement/#:~:text=strong%20industry%20engagement%20and%20the,an%20expanded%20range%20of%20opportunities,,,,,,,,,,,,
IIM Calcutta,MBA,2024,Avendus Capital,,Citi Bank,,Deutsche Bank,,HSBC,,Goldman Sachs,,Morgan Stanley,,Standard Chartered,,Amazon,,Boston Consulting Group,,Deloitte,,https://www.imsindia.com/blog/cat/iim-calcutta-placements/#:~:text=Major%20Domains%20Consulting%C2%A0%20Consulting%20Top,Deloitte%2C%20HUL%2C%20Jio%2C%20Flipkart%2C%20HSBC,,,,,,,,,,,,
Indian School of Business,MBA,2023,McKinsey & Company,,Boston Consulting Group,,Bain & Company,,Amazon,,Deloitte,,Goldman Sachs,,Accenture,,Cognizant,,KPMG,,Ernst & Young,,https://admitstreet.com/blog/isb-placements/#:~:text=indicates%20ISB%E2%80%99s%20growing%20global%20footprint,its%20graduates%20in%20foreign%20markets,,,,,,,,,,,,
National University of Singapore (NUS) Business School,MBA,2024,Alibaba Group,,Amazon,,Google,,Deloitte,,Arthur D. Little,,Ernst & Young,,Microsoft,,Dell,,JPMorgan,,Johnson & Johnson,,https://www.gyanone.com/from-ge-to-nus-mba-aditya-makes-it-with-gmat-700/#:~:text=Top%20Hiring%20Companies%20for%20NUS,MBA%20Graduates,MBA,,,,,,,,,,,MBA
HKUST Business School,MBA,2022,Amazon,,Bain & Company,,Citibank,,Credit Suisse,,Deloitte Consulting,,Goldman Sachs,,Google,,HSBC,,JPMorgan Chase,,McKinsey & Company,,meerkhatri.com/wp-content/uploads/2024/05/HKUST-MBA-Employment-Report-Class-of-2022.pdf#:~:text=Transforming%20Business%20with%20Arti%EF%AC%81cial%20Intelligence,G%20DBS%20Bank,MBA,,,,,,,,,,,MBA
SDA Bocconi School of Management,MBA,2024,McKinsey & Company,,PricewaterhouseCoopers,,Bain & Company,,Boston Consulting Group,,A.T. Kearney,,Google,,Amazon,,Microsoft,,Credit Suisse,,Zurich Insurance Group,,https://www.mim-essay.com/bocconi-mba#:~:text=Technology%2C%20and%20Consulting,Zurich%20Insurance%20Group%2C%20PIMCO%2C%20etc,MBA,,,,,,,,,,,MBA
Esade Business School,MBA,2024,Amazon,,Bain & Company,,Boston Consulting Group,,Citi,,Credit Suisse,,Dell,,EY,,Google,,McKinsey & Company,,Johnson & Johnson,,https://www.esade.edu/mba/en/programmes/full-time-mba/careers#:~:text=Companies%20recruiting%20at%20Esade,MBA,,,,,,,,,,,MBA
WHU – Otto Beisheim School of Management,MBA,2023,Accenture,,Amazon,,Allianz,,EY,,Deutsche Bank,,Google,,Kraft Heinz,,Procter & Gamble,,,,,,https://www.businessbecause.com/news/mba-degree/8219/best-business-schools-in-germany#:~:text=For%20students%20looking%20to%20go,moving%20consumer%20goods%20%28FMCG,MBA,,,,,,,,,,,MBA
