name,title,company,quote,theme,source_url,date_accessed
David Solomon,CEO,Goldman Sachs,"AI can draft 95% of an IPO prospectus in minutes. The last 5 percent now matters because the rest is now a commodity.",Human Judgment,https://fortune.com/2025/01/17/goldman-sachs-ceo-david-solomon-ai-tasks-ipo-prospectus-s1-filing-sec/,2025-01-18
David Solomon,CEO,Goldman Sachs,"AI is not a bubble. It's a trend that we're in the early stages of seeing how it affects business productivity.",Business Productivity,https://finance.yahoo.com/news/goldman-sachs-ceo-david-solomon-130832923.html,2025-01-18
David Solomon,CEO,Goldman Sachs,"Productivity is the ability to take smart people and give them tools so they can do more do more quickly help our clients think about things in different ways.",Enhanced Productivity,https://www.cnbc.com/video/2024/05/06/goldman-sachs-david-solomon-on-ai-strategy-job-impact-and-ma-environment.html,2025-01-18
Bob Sternfels,Global Managing Partner,McKinsey & Company,"You can get to a pretty good average answer using the technology now. So the kind of basic layer of mediocre expertise goes away. But the distinctive expertise becomes even more valuable.",Human Expertise,https://futurism.com/mckinsey-terrified-ai-do-its-job,2025-01-18
Bob Sternfels,Global Managing Partner,McKinsey & Company,"Increasingly you're going to have to learn over a career at a rate you and I have never seen.",Continuous Learning,https://www.theconsultingreport.com/courageous-inclusive-and-faster-bob-sternfels-new-vision-for-mckinsey-co/,2025-01-18
Bob Sternfels,Global Managing Partner,McKinsey & Company,"That is something I don't think will be disrupted by AI. McKinsey's reputation as a leadership factory.",Leadership Skills,https://www.theconsultingreport.com/courageous-inclusive-and-faster-bob-sternfels-new-vision-for-mckinsey-co/,2025-01-18
Bob Sternfels,Global Managing Partner,McKinsey & Company,"I'm personally passionate about this notion of resilience as a skill. We talk about resilience as a muscle that needs to be built.",Resilience,https://www.weforum.org/stories/2025/01/6-things-we-learned-about-the-future-of-work-at-davos/,2025-01-18
Mary Barra,CEO,General Motors,"Autonomous technology that's safer than a car with a human driver is coming and it's going to get better and better and better with technologies like artificial intelligence and machine learning.",AI Advancement,https://www.foxbusiness.com/technology/general-motors-looking-weave-artificial-intelligence-into-driving-experience,2025-01-18
Mary Barra,CEO,General Motors,"CEOs need to be fluent in emerging technologies but artificial intelligence will become as ubiquitous as did mobile and digital.",Leadership Adaptation,https://www.cosmopolitan.com/career/a44773797/mary-barra-interview-cosmo/,2025-01-18
Mary Barra,CEO,General Motors,"40% of our technical talent has been with the company for less than five years. There are a lot of millennials and Gen Zs and they bring a different energy.",Workforce Evolution,https://www.europeanceo.com/profiles/mary-barra-general-motors/,2025-01-18
Arvind Krishna,CEO,IBM,"Jobs that require critical thinking will very much be in demand jobs that require creativity will very much be in demand but a lot of good jobs will be eliminated.",Critical Thinking,https://cryptonews.net/news/other/27724586/,2025-01-18
Arvind Krishna,CEO,IBM,"Today's workforce should prepare to work hand in hand with AI. AI solutions are being deployed to help tackle the kind of tasks most people find repetitive which frees up employees to take on higher-value work.",Job Enhancement,https://fortune.com/2023/04/20/ibm-ceo-work-ai-artificial-intelligence-careers-tech-arvind-krishna/,2025-01-18
Arvind Krishna,CEO,IBM,"We are going to need technology to do some of the mundane work so that people can do higher-value work.",Higher-Value Work,https://fortune.com/2023/05/27/ibm-ceo-arvind-krishna-job-loses-ai-declining-populations/,2025-01-18
Arvind Krishna,CEO,IBM,"Every organization will become an AI organization – not because they can but because they must. AI is the only way to scale innovation insight and expertise.",AI Necessity,https://www.hpcwire.com/2025/05/14/ibm-ceo-arvind-krishna-on-the-good-bad-and-ugly-of-ai/,2025-01-18
Andy Jassy,CEO,Amazon,"AI and generative AI specifically is the most transformative technology of our lifetime which is saying a lot given that we have had the internet.",AI Transformation,https://www.cnbc.com/2025/06/30/amazon-ceo-says-ai-will-mean-fewer-people-do-jobs-that-get-automated.html,2025-01-18
Andy Jassy,CEO,Amazon,"There will be fewer people doing some of the jobs that the technology actually starts to automate.",Job Automation,https://www.cnbc.com/2025/06/30/amazon-ceo-says-ai-will-mean-fewer-people-do-jobs-that-get-automated.html,2025-01-18
Andy Jassy,CEO,Amazon,"AI will make all our teammates' jobs more enjoyable freeing them up from having to do the rote functions that could not previously be automated.",Job Enhancement,https://fortune.com/2025/07/31/amazon-andy-jassy-embrace-ai-jobs-more-enjoyable/,2025-01-18
Andy Jassy,CEO,Amazon,"Companies have two choices: to embrace and shape the change that's coming or wish it away and have it shape you.",Strategic Choice,https://www.itpro.com/business/business-strategy/amazon-ceo-andy-jassy-ai-job-cuts,2025-01-18
Brian Moynihan,CEO,Bank of America,"Artificial Intelligence allows us to change the work across many more areas of our company effectively than prior tools allowed us.",AI Enhancement,https://diginomica.com/we-have-debate-future-bank-america-ceo-brian-moynihan-organizations-bid-scale-ai-size-matters,2025-01-18
Brian Moynihan,CEO,Bank of America,"Every decision we have to make as a leader you have to think about who's going to do it not what the decision is because decisions are relatively easy.",Critical Thinking,https://fortune.com/article/bank-of-america-ceo-leadership-csuite-strategy/,2025-01-18
Brian Moynihan,CEO,Bank of America,"The adoption of technology at the second-biggest U.S. lender has allowed him to cut 100000 workers in less than a decade.",Workforce Impact,https://www.cnbc.com/2018/10/17/bank-of-america-ceo-brian-moynihan-on-cutting-100000-jobs.html,2025-01-18
Dario Gil,SVP and Director of Research,IBM,"Don't be an AI user be an AI value creator. Use the technology but think more structurally about how to create value in whatever domain you are in.",Value Creation,https://www.buffalo.edu/ubnow/stories/2024/06/ai-chat-series-dario-gil.html,2025-01-18
Dario Gil,SVP and Director of Research,IBM,"The future of AI is to be open. This is an indispensable element to make it safe innovative and distribute economic benefits to the world.",Open AI,https://www.stevens.edu/news/quantum-and-ai-are-our-next-problem-solvers-says-ibms-research-director,2025-01-18
Klaus Schwab,Founder and Executive Chairman,World Economic Forum,"In the future talent more than capital will represent the critical factor of production.",Human Capital,https://www.weforum.org/about/the-fourth-industrial-revolution-by-klaus-schwab/,2025-01-18
Klaus Schwab,Founder and Executive Chairman,World Economic Forum,"The Fourth Industrial Revolution does not just disrupt employment it creates a shortfall of newly required skills.",Skills Gap,https://www.thepeoplespace.com/ideas/articles/we-need-revolution-education-and-skills-if-humans-are-thrive-future-economy-says,2025-01-18
Klaus Schwab,Founder and Executive Chairman,World Economic Forum,"We need to shape a future that works for all of us by putting people first and empowering them.",Human-Centric Future,https://www.weforum.org/stories/2016/01/the-fourth-industrial-revolution-what-it-means-and-how-to-respond/,2025-01-18
Reed Hastings,Co-Founder and Executive Chairman,Netflix,"We're going to be fighting for the survival of humanity and the flourishing of humanity. AI will be much bigger than the social networking change.",Human Survival,https://www.inc.com/kit-eaton/reed-hastings-just-gave-50-million-to-boost-ai-safety-research-and-we-should-all-pay-attention/91165725,2025-01-18
Reed Hastings,Co-Founder and Executive Chairman,Netflix,"It's tough to think about entertainment when I'm not sure if we're going to be entertaining you or entertaining AIs.",Future Uncertainty,https://qz.com/920995/mobile-world-congress-2017-ceo-reed-hastings-doesnt-know-whether-netflix-will-be-entertaining-humans-or-ai-in-50-years,2025-01-18
Reed Hastings,Co-Founder and Executive Chairman,Netflix,"I'm joining Anthropic's board because I believe in their approach to AI development and to help humanity progress.",AI Development,https://www.cnbc.com/2025/05/28/anthropic-appoints-netflix-chairman-reed-hastings-to-board-.html,2025-01-18
Ginni Rometty,Former CEO,IBM,"I expect AI to change 100 percent of jobs within the next five to 10 years.",Job Transformation,https://www.cnbc.com/2019/04/02/ibm-ceo-ginni-romettys-solution-to-closing-the-skills-gap-in-america.html,2025-01-18
Ginni Rometty,Former CEO,IBM,"AI is not about automation. To get real value people must change how they think about things and how they do things.",Critical Thinking,https://bdtechtalks.com/2018/05/08/ibm-ceo-augmented-intelligence-ai/,2025-01-18
Ginni Rometty,Former CEO,IBM,"The purpose of all technology especially AI should be to augment humanity not replace it.",Augmented Intelligence,https://www.peoplematters.in/article/skilling/technology-must-augment-humanity-an-interview-with-former-ibm-ceo-ginni-rometty-41593,2025-01-18
Ginni Rometty,Former CEO,IBM,"In every case the person that cooperated with the AI plays a pivotal role in the outcome. The combination of man and machine creates something that none of them can do alone.",Human-AI Collaboration,https://www.goldmansachs.com/insights/articles/former-ibm-ceo-rometty-says-ai-focus-should-be-on-people-and-building-trust,2025-01-18
Dara Khosrowshahi,CEO,Uber,"AI is not going to replace you. The thing that's going to replace you is a human who knows how to use AI.",AI Skills,https://www.brown.edu/news/2025-04-10/dara-khosrowshahi,2025-01-18
Dara Khosrowshahi,CEO,Uber,"There's a perception that AI is a tech thing but it's a broad tool to be used for everybody.",Broad Application,https://skift.com/2023/10/04/uber-ceo-dara-khosrowshahi-super-apps-ai-and-uber-teens-full-video/,2025-01-18
Dara Khosrowshahi,CEO,Uber,"Uber has been an AI powered company for years and years and years. When you're routing your estimated time of arrival whether we batch your delivery pricing all of it is based on AI algorithms.",AI Integration,https://stratechery.com/2025/an-interview-with-uber-ceo-dara-khosrowshahi-about-aggregation-and-autonomy/,2025-01-18
Daniel Zhang,Former CEO,Alibaba Group,"If your company fails to keep pace with budding AI technology you may be the loser for the next generation.",Competitive Advantage,https://www.alizila.com/alibaba-siemens-ceo-urge-embrace-ai-artificial-intelligence-llm-generative-ai/,2025-01-18
Daniel Zhang,Former CEO,Alibaba Group,"When people say AI they laugh and say that to us it's Alibaba intelligence because data and technology power everything we do.",AI Integration,https://www.mckinsey.com/featured-insights/china/speak-softly-make-tough-decisions-an-interview-with-alibaba-group-chairman,2025-01-18
Daniel Zhang,Former CEO,Alibaba Group,"AI would have a profound impact in the coming 10 to 15 years with everyone gaining access to an exclusive smart assistant and every household may have a smart family doctor.",Future Impact,https://www.alizila.com/nobel-laureates-alibaba-ceo-discuss-role-of-ai-at-work/,2025-01-18
Akio Toyoda,Chairman,Toyota Motor Corporation,"We should not make people into mere machine overseers. Automation should be centered on people.",Human-Centered Automation,https://global.toyota/en/newsroom/corporate/20566886.html,2025-01-18
Akio Toyoda,Chairman,Toyota Motor Corporation,"AI is already augmenting human skills and capabilities. The goal is a future where humans can spend more time focusing on creative strategic and enjoyable activities.",Human Augmentation,https://pressroom.toyota.com/toyota-and-generative-ai-its-here-and-this-is-how-were-using-it/,2025-01-18
Carlos Ghosn,Former CEO,Nissan,"There is no way we are going to have autonomous driverless cars without AI it's impossible. However AI will not completely solve all the issues. AI is an enabler but I don't think AI is going to completely substitute the human mind.",Human-AI Partnership,https://newatlas.com/nissan-ces2017-ghosn/47256/,2025-01-18
Carlos Ghosn,Former CEO,Nissan,"Over the next five years the automobile will be transformed from a transportation device into a smart intelligent mobile space.",Industry Transformation,https://fortune.com/2018/01/19/carlos-ghosn-nissan-renault-mitsubishi/,2025-01-18
