company,question,difficulty,question_type,skills_assessed,sales_level,source
General,How do you handle competitive situations?,Senior,Objection Handling,"Objection Handling & Negotiation,Solution Presentation & Positioning,Relationship Building & Communication",Senior Sales,Sales Interview
Mailchimp,How would you sell email marketing to small businesses?,Senior,Discovery & Needs Analysis,"Discovery & Needs Assessment,Solution Presentation & Positioning,Relationship Building & Communication",Senior Sales,Sales Interview
Intercom,Describe your approach to selling customer communication tools,Senior,Presentation & Demo,"Solution Presentation & Positioning,Discovery & Needs Assessment,Cross-functional Collaboration",Senior Sales,Sales Interview
Zendesk,How would you handle objections about customer support software complexity?,Senior,Objection Handling,"Objection Handling & Negotiation,Solution Presentation & Positioning,Discovery & Needs Assessment",Senior Sales,Sales Interview
General,What is your closing technique?,Senior,Closing & Negotiation,"Deal Closing & Contract Management,Objection Handling & Negotiation,Relationship Building & Communication",Senior Sales,Sales Interview
General,How do you manage customer expectations?,Senior,Relationship Management,"Relationship Building & Communication,Account Management & Expansion,Discovery & Needs Assessment",Senior Sales,Sales Interview
General,What is your referral strategy?,Senior,Prospecting & Lead Generation,"Prospecting & Lead Generation,Relationship Building & Communication,Account Management & Expansion",Senior Sales,Sales Interview
General,How do you handle contract negotiations?,Staff,Closing & Negotiation,"Deal Closing & Contract Management,Objection Handling & Negotiation,Cross-functional Collaboration",Staff Sales,Sales Interview
General,What is your account planning process?,Staff,Account Management,"Account Management & Expansion,Territory & Pipeline Management,Relationship Building & Communication",Staff Sales,Sales Interview
General,How do you coach junior sales reps?,Staff,Sales Process & Operations,"Cross-functional Collaboration,Sales Process & CRM Management,Relationship Building & Communication",Sales Manager,Sales Interview
General,What is your sales forecasting method?,Staff,Sales Process & Operations,"Sales Process & CRM Management,Territory & Pipeline Management,Cross-functional Collaboration",Sales Manager,Sales Interview
General,How do you handle team quota management?,Staff,Sales Process & Operations,"Territory & Pipeline Management,Cross-functional Collaboration,Sales Process & CRM Management",Sales Manager,Sales Interview
General,What is your onboarding process for new clients?,Senior,Account Management,"Account Management & Expansion,Relationship Building & Communication,Cross-functional Collaboration",Senior Sales,Sales Interview
