company,question,difficulty,question_type,skills_assessed,cs_level,source
Canva,How would you help enterprise customers with brand consistency?,Senior,Expansion & Growth,"Account Expansion & Growth,Technical Product Knowledge,Strategic Account Planning",Senior CSM,CS Interview
DocuSign,Design a process for contract renewal conversations,Senior,Retention & Churn,"Retention & Churn Prevention,Relationship Management & Communication,Strategic Account Planning",Senior CSM,CS Interview
Twilio,How would you support developer onboarding for APIs?,Senior,Onboarding & Adoption,"Customer Onboarding & Adoption,Technical Product Knowledge,Cross-functional Collaboration",Senior CSM,CS Interview
SendGrid,Describe your approach to email deliverability consulting,Senior,Problem Solving,"Problem Solving & Escalation Management,Technical Product Knowledge,Relationship Management & Communication",Senior CSM,CS Interview
General,How do you build customer relationships?,Junior,Relationship Management,"Relationship Management & Communication,Customer Onboarding & Adoption,Strategic Account Planning",Junior CSM,CS Interview
General,What is a customer journey map?,Mid,Process & Operations,"Process Design & Operations,Customer Analytics & Health Scoring,Customer Onboarding & Adoption",CSM,CS Interview
General,How do you handle difficult customers?,Mid,Problem Solving,"Problem Solving & Escalation Management,Relationship Management & Communication,Cross-functional Collaboration",CSM,CS Interview
General,What is customer segmentation?,Mid,Data & Analytics,"Customer Analytics & Health Scoring,Strategic Account Planning,Process Design & Operations",CSM,CS Interview
General,How do you measure product adoption?,Mid,Data & Analytics,"Customer Analytics & Health Scoring,Technical Product Knowledge,Customer Onboarding & Adoption",CSM,CS Interview
General,What is expansion revenue?,Senior,Expansion & Growth,"Account Expansion & Growth,Customer Analytics & Health Scoring,Strategic Account Planning",Senior CSM,CS Interview
General,How do you create a success plan?,Senior,Strategic Planning,"Strategic Account Planning,Customer Onboarding & Adoption,Relationship Management & Communication",Senior CSM,CS Interview
General,What is proactive vs reactive customer success?,Senior,Process & Operations,"Process Design & Operations,Customer Analytics & Health Scoring,Strategic Account Planning",Senior CSM,CS Interview
General,How do you scale customer success operations?,Staff,Process & Operations,"Process Design & Operations,Strategic Account Planning,Cross-functional Collaboration",Staff CSM,CS Interview
General,What is customer success automation?,Staff,Process & Operations,"Process Design & Operations,Customer Analytics & Health Scoring,Technical Product Knowledge",Staff CSM,CS Interview
Airtable,How would you help customers design effective workflows?,Senior,Onboarding & Adoption,"Customer Onboarding & Adoption,Technical Product Knowledge,Problem Solving & Escalation Management",Senior CSM,CS Interview
Miro,Design a strategy for remote team collaboration adoption,Senior,Onboarding & Adoption,"Customer Onboarding & Adoption,Strategic Account Planning,Relationship Management & Communication",Senior CSM,CS Interview
Loom,How would you drive video communication adoption?,Senior,Onboarding & Adoption,"Customer Onboarding & Adoption,Customer Analytics & Health Scoring,Technical Product Knowledge",Senior CSM,CS Interview
Calendly,Describe your approach to scheduling workflow optimization,Senior,Expansion & Growth,"Account Expansion & Growth,Technical Product Knowledge,Customer Analytics & Health Scoring",Senior CSM,CS Interview
General,How do you conduct customer interviews?,Mid,Relationship Management,"Relationship Management & Communication,Customer Analytics & Health Scoring,Strategic Account Planning",CSM,CS Interview
General,What is customer advocacy?,Senior,Relationship Management,"Relationship Management & Communication,Strategic Account Planning,Cross-functional Collaboration",Senior CSM,CS Interview
General,How do you measure customer engagement?,Mid,Data & Analytics,"Customer Analytics & Health Scoring,Technical Product Knowledge,Process Design & Operations",CSM,CS Interview
General,What is a customer success playbook?,Senior,Process & Operations,"Process Design & Operations,Strategic Account Planning,Customer Onboarding & Adoption",Senior CSM,CS Interview
General,How do you handle product feedback?,Mid,Problem Solving,"Problem Solving & Escalation Management,Cross-functional Collaboration,Relationship Management & Communication",CSM,CS Interview
General,What is customer health scoring?,Senior,Data & Analytics,"Customer Analytics & Health Scoring,Process Design & Operations,Strategic Account Planning",Senior CSM,CS Interview
General,How do you prevent customer churn?,Senior,Retention & Churn,"Retention & Churn Prevention,Customer Analytics & Health Scoring,Problem Solving & Escalation Management",Senior CSM,CS Interview
General,What is customer education?,Mid,Onboarding & Adoption,"Customer Onboarding & Adoption,Technical Product Knowledge,Process Design & Operations",CSM,CS Interview
General,How do you manage multiple accounts?,Mid,Process & Operations,"Process Design & Operations,Strategic Account Planning,Customer Analytics & Health Scoring",CSM,CS Interview
General,What is customer success technology stack?,Staff,Process & Operations,"Process Design & Operations,Customer Analytics & Health Scoring,Technical Product Knowledge",Staff CSM,CS Interview
