company,question,difficulty,question_type,skills_assessed,eng_mgmt_level,source
General,"A critical decision needs to be made quickly but your team is split 50/50. How do you proceed?",Mid,Team Leadership,Strategic Planning & Decision Making,Engineering Manager,Interview
Google,"Your team's innovation pipeline is empty and they're only working on maintenance tasks. How do you reignite creativity?",Senior,Innovation Management,Innovation & Technology Strategy,Senior Manager,Interview
Apple,"You need to integrate an acquired company's engineering team into yours. What's your integration strategy?",Senior,Team Leadership,Team Management & Development,Director,Interview
Microsoft,"Your team's CI/CD pipeline is blocking other teams from deploying. How do you resolve this bottleneck?",Mid,Technical Strategy,Cross-functional Collaboration,Engineering Manager,Interview
Amazon,"A team member's technical solution works but is overly complex. How do you guide them toward simplicity?",Mid,Performance Management,Performance Management & Coaching,Engineering Manager,Interview
Tesla,"Your team needs to support a 10x increase in traffic with current infrastructure. What's your scaling strategy?",Senior,Technical Strategy,Technical Leadership & Vision,Senior Manager,Interview
Meta,"You discover your team has been building features that aren't being used. How do you refocus their efforts?",Senior,Cross-functional Collaboration,Strategic Planning & Decision Making,Senior Manager,Interview
Netflix,"Your team's expert in a critical technology is hoarding knowledge. How do you encourage knowledge sharing?",Mid,Team Leadership,Team Management & Development,Engineering Manager,Interview
Uber,"You need to choose between proven technology and cutting-edge solution for a critical project. How do you decide?",Senior,Technical Strategy,Strategic Planning & Decision Making,Senior Manager,Interview
Airbnb,"Your team's velocity metrics look good but customer satisfaction is dropping. How do you investigate this disconnect?",Senior,Cross-functional Collaboration,Performance Management & Coaching,Senior Manager,Interview
SpaceX,"A regulatory change requires major changes to your system architecture. How do you manage this transition?",Senior,Technical Strategy,Strategic Planning & Decision Making,Director,Interview
General,"Your team member wants promotion but isn't ready yet. How do you have this career conversation?",Mid,Performance Management,Performance Management & Coaching,Engineering Manager,Interview
General,"You need to convince your team to adopt better security practices they see as burdensome. How do you do this?",Mid,Technical Strategy,Technical Leadership & Vision,Engineering Manager,Interview
General,"Your team's retrospectives keep identifying the same issues but nothing changes. How do you drive action?",Mid,Team Leadership,Team Management & Development,Engineering Manager,Interview
General,"A team member's side project is gaining attention but distracting from work. How do you address this?",Mid,Performance Management,Team Management & Development,Engineering Manager,Interview
General,"Your team needs to work closely with a difficult stakeholder. How do you manage this relationship?",Mid,Cross-functional Collaboration,Communication & Stakeholder Management,Engineering Manager,Interview
Google,"Your team's machine learning model performance is degrading in production. How do you debug and fix this?",Senior,Technical Strategy,Technical Leadership & Vision,Senior Manager,Interview
Apple,"You need to coordinate a feature launch across 8 engineering teams. What's your coordination strategy?",Senior,Cross-functional Collaboration,Project Planning & Execution,Senior Manager,Interview
Microsoft,"Your team's development environment is unreliable and slowing productivity. How do you prioritize fixing this?",Mid,Technical Strategy,Resource Management & Allocation,Engineering Manager,Interview
Amazon,"A team member consistently over-engineers solutions. How do you coach them toward pragmatic approaches?",Mid,Performance Management,Performance Management & Coaching,Engineering Manager,Interview
Tesla,"Your team needs to build a safety-critical system with zero tolerance for errors. How do you ensure quality?",Senior,Technical Strategy,Technical Leadership & Vision,Senior Manager,Interview
Meta,"You discover your team's architecture decisions are causing scalability issues for other teams. How do you address this?",Senior,Technical Strategy,Cross-functional Collaboration,Senior Manager,Interview
Netflix,"Your team's expert knowledge holder is resistant to documenting their work. How do you motivate documentation?",Mid,Team Leadership,Team Management & Development,Engineering Manager,Interview
Uber,"You need to deprecate a popular internal tool your team maintains. How do you manage this transition?",Senior,Cross-functional Collaboration,Communication & Stakeholder Management,Senior Manager,Interview
Airbnb,"Your team's coding standards are inconsistent across different projects. How do you establish consistency?",Mid,Technical Strategy,Technical Leadership & Vision,Engineering Manager,Interview
SpaceX,"A critical mission depends on your team's software working perfectly. How do you ensure reliability?",Senior,Technical Strategy,Technical Leadership & Vision,Senior Manager,Interview
Boeing,"Your team needs to certify software for aviation standards while maintaining development velocity. How do you balance this?",Senior,Technical Strategy,Strategic Planning & Decision Making,Director,Interview
General Electric,"You're transitioning a legacy industrial control system to modern architecture. What's your migration strategy?",Senior,Technical Strategy,Strategic Planning & Decision Making,Senior Manager,Interview
General,"Your team member made a mistake that affected customer data. How do you handle the incident and learning?",Senior,Performance Management,Performance Management & Coaching,Senior Manager,Interview
General,"You need to rebuild team trust after a controversial decision you made. What's your approach?",Senior,Team Leadership,Team Management & Development,Senior Manager,Interview
General,"Your team's work culture has become too comfortable and innovation has slowed. How do you introduce healthy challenge?",Senior,Innovation Management,Innovation & Technology Strategy,Senior Manager,Interview
General,"A high-stakes demo to investors is tomorrow and a critical bug was just discovered. How do you handle this?",Senior,Technical Strategy,Strategic Planning & Decision Making,Senior Manager,Interview
General,"Your team needs to adopt DevOps practices but they're resistant to changing their workflow. How do you drive adoption?",Mid,Technical Strategy,Technical Leadership & Vision,Engineering Manager,Interview
Google,"Your team's AI/ML experiment shows promise but needs significant investment to productionize. How do you make this case?",Senior,Innovation Management,Strategic Planning & Decision Making,Director,Interview
Apple,"You need to ensure your team's mobile app works perfectly across 15 different device configurations. What's your testing strategy?",Mid,Technical Strategy,Technical Leadership & Vision,Engineering Manager,Interview
Microsoft,"Your team's cloud migration is behind schedule and over budget. How do you get back on track?",Senior,Project Management,Resource Management & Allocation,Senior Manager,Interview
Amazon,"You discover your team's microservices architecture is creating more problems than it solves. How do you address this?",Senior,Technical Strategy,Technical Leadership & Vision,Senior Manager,Interview
Tesla,"Your team needs to optimize software for limited hardware resources in vehicles. How do you approach performance optimization?",Senior,Technical Strategy,Technical Leadership & Vision,Senior Manager,Interview
Meta,"Your team's feature rollout caused user engagement to drop. How do you investigate and respond?",Senior,Cross-functional Collaboration,Strategic Planning & Decision Making,Senior Manager,Interview
Netflix,"You need to scale your team's video encoding pipeline for global expansion. What's your scaling approach?",Senior,Technical Strategy,Resource Management & Allocation,Senior Manager,Interview
Uber,"Your team's location services are draining device battery faster than expected. How do you optimize this?",Mid,Technical Strategy,Technical Leadership & Vision,Engineering Manager,Interview
Airbnb,"You need to ensure your team's payment system handles currency conversions across 50 countries. How do you approach this complexity?",Senior,Technical Strategy,Technical Leadership & Vision,Senior Manager,Interview
SpaceX,"Your team's ground control software needs 99.99% uptime for mission-critical operations. How do you achieve this reliability?",Staff,Technical Strategy,Technical Leadership & Vision,Director,Interview
Boeing,"You're managing software for flight control systems with strict regulatory requirements. How do you balance innovation with compliance?",Staff,Technical Strategy,Strategic Planning & Decision Making,VP Engineering,Interview
General Electric,"Your team needs to modernize industrial IoT systems while maintaining backward compatibility. What's your strategy?",Senior,Technical Strategy,Technical Leadership & Vision,Senior Manager,Interview
General,"Your startup team of 3 engineers needs to build an MVP in 2 months. How do you prioritize and execute?",Junior,Project Management,Project Planning & Execution,Team Lead,Interview
General,"You inherited a team with no coding standards and inconsistent practices. How do you establish engineering discipline?",Mid,Technical Strategy,Technical Leadership & Vision,Engineering Manager,Interview
General,"Your team's open source project is gaining traction but creating maintenance burden. How do you manage this?",Senior,Resource Allocation,Strategic Planning & Decision Making,Senior Manager,Interview
General,"A security audit revealed multiple vulnerabilities in your team's code. How do you address this systematically?",Senior,Technical Strategy,Technical Leadership & Vision,Senior Manager,Interview
General,"Your team needs to choose between three different architectural approaches for a new system. How do you make this decision?",Senior,Technical Strategy,Strategic Planning & Decision Making,Senior Manager,Interview
Google,"Your team's search algorithm update is causing unexpected results. How do you diagnose and fix this quickly?",Senior,Technical Strategy,Technical Leadership & Vision,Senior Manager,Interview
Apple,"You need to coordinate iOS and macOS feature parity across two separate teams. How do you ensure consistency?",Senior,Cross-functional Collaboration,Project Planning & Execution,Senior Manager,Interview
Microsoft,"Your team's Azure service is experiencing intermittent failures affecting customers. What's your incident response strategy?",Senior,Technical Strategy,Technical Leadership & Vision,Senior Manager,Interview
Amazon,"You need to optimize your team's recommendation engine for Black Friday traffic. How do you prepare for this scale?",Senior,Technical Strategy,Resource Management & Allocation,Senior Manager,Interview
Tesla,"Your team's autonomous driving software needs to handle edge cases safely. How do you approach comprehensive testing?",Staff,Technical Strategy,Technical Leadership & Vision,Director,Interview
Meta,"Your team's social media algorithm is showing bias in content distribution. How do you investigate and fix this?",Senior,Technical Strategy,Innovation & Technology Strategy,Senior Manager,Interview
Netflix,"You need to optimize video streaming quality for users with poor internet connections. What's your technical approach?",Mid,Technical Strategy,Technical Leadership & Vision,Engineering Manager,Interview
Uber,"Your team's pricing algorithm needs to balance driver earnings with rider affordability. How do you optimize this?",Senior,Technical Strategy,Strategic Planning & Decision Making,Senior Manager,Interview
Airbnb,"You need to detect and prevent fraudulent listings while maintaining user experience. What's your strategy?",Senior,Technical Strategy,Technical Leadership & Vision,Senior Manager,Interview
SpaceX,"Your team's trajectory calculation software has a minor discrepancy that could affect mission success. How do you handle this?",Staff,Technical Strategy,Strategic Planning & Decision Making,Director,Interview
General,"Your team's database is approaching capacity limits and performance is degrading. What's your scaling strategy?",Mid,Technical Strategy,Technical Leadership & Vision,Engineering Manager,Interview
General,"You need to migrate your team's monolith to microservices without disrupting service. How do you plan this transition?",Senior,Technical Strategy,Strategic Planning & Decision Making,Senior Manager,Interview
General,"Your team's API is being rate-limited by a critical third-party service. How do you architect around this constraint?",Mid,Technical Strategy,Technical Leadership & Vision,Engineering Manager,Interview
General,"A competitor is poaching your best engineers with significant salary increases. How do you retain talent?",Senior,Team Leadership,Team Management & Development,Senior Manager,Interview
General,"Your team needs to reduce technical debt while delivering new features under tight deadlines. How do you balance this?",Senior,Technical Strategy,Strategic Planning & Decision Making,Senior Manager,Interview
General,"You discover your team's caching strategy is causing data inconsistency issues. How do you redesign this?",Mid,Technical Strategy,Technical Leadership & Vision,Engineering Manager,Interview
General,"Your team's monitoring and alerting system has too many false positives. How do you improve signal-to-noise ratio?",Mid,Technical Strategy,Technical Leadership & Vision,Engineering Manager,Interview
General,"You need to onboard 5 new engineers quickly while maintaining team productivity. What's your onboarding strategy?",Mid,Technical Hiring,Technical Hiring & Talent Development,Engineering Manager,Interview
General,"Your team's feature flags system is becoming unwieldy and causing configuration drift. How do you manage this complexity?",Mid,Technical Strategy,Technical Leadership & Vision,Engineering Manager,Interview
General,"A critical team member is burning out from oncall responsibilities but is the only expert in the system. How do you address this?",Senior,Resource Allocation,Team Management & Development,Senior Manager,Interview
